epoch,lr-Adam,step,test/ADE,test/FDE,test/loss,val/ADE,val/FDE,val/loss
,0.001,0,,,,,,
0,,0,,,,0.7920973300933838,0.9195864200592041,0.35141247510910034
,0.001,1,,,,,,
1,,1,,,,0.7794709205627441,0.9090186357498169,0.34085533022880554
,0.001,2,,,,,,
2,,2,,,,0.7670900225639343,0.8986533284187317,0.33067071437835693
,0.001,3,,,,,,
3,,3,,,,0.7548749446868896,0.8883507251739502,0.3207877278327942
,0.001,4,,,,,,
4,,4,,,,0.742752730846405,0.878000020980835,0.3111427128314972
,0.001,5,,,,,,
5,,5,,,,0.7306531667709351,0.867499828338623,0.3016771078109741
,0.001,6,,,,,,
6,,6,,,,0.7185076475143433,0.8567732572555542,0.2923358976840973
,0.001,7,,,,,,
7,,7,,,,0.706249475479126,0.8457615375518799,0.2830674350261688
,0.001,8,,,,,,
8,,8,,,,0.6938138008117676,0.8344088792800903,0.2738243043422699
,0.001,9,,,,,,
9,,9,,,,0.6811372637748718,0.822655200958252,0.26456403732299805
,0.001,10,,,,,,
10,,10,,,,0.6681568026542664,0.8104352951049805,0.2552492022514343
,0.001,11,,,,,,
11,,11,,,,0.6548103094100952,0.7976795434951782,0.24584689736366272
,0.001,12,,,,,,
12,,12,,,,0.6410344243049622,0.7843128442764282,0.236328125
,0.001,13,,,,,,
13,,13,,,,0.6267634630203247,0.7702518701553345,0.22666656970977783
,0.001,14,,,,,,
14,,14,,,,0.6119282245635986,0.7554022669792175,0.21683834493160248
,0.001,15,,,,,,
15,,15,,,,0.5964555144309998,0.7396590113639832,0.2068222314119339
,0.001,16,,,,,,
16,,16,,,,0.5802674889564514,0.7229077816009521,0.19659985601902008
,0.001,17,,,,,,
17,,17,,,,0.5632819533348083,0.7050264477729797,0.186156764626503
,0.001,18,,,,,,
18,,18,,,,0.5454130172729492,0.6858865022659302,0.1754831075668335
,0.001,19,,,,,,
19,,19,,,,0.5265718102455139,0.6653537750244141,0.16457514464855194
,0.001,20,,,,,,
20,,20,,,,0.506669282913208,0.6432893872261047,0.15343695878982544
,0.001,21,,,,,,
21,,21,,,,0.48561954498291016,0.6195504665374756,0.14208294451236725
,0.001,22,,,,,,
22,,22,,,,0.4633462429046631,0.5939922332763672,0.13054059445858002
,0.001,23,,,,,,
23,,23,,,,0.4397916793823242,0.5664721727371216,0.11885383725166321
,0.001,24,,,,,,
24,,24,,,,0.4149317741394043,0.536857008934021,0.10708729177713394
,0.001,25,,,,,,
25,,25,,,,0.3887999951839447,0.505036473274231,0.09533049911260605
,0.001,26,,,,,,
26,,26,,,,0.3615330159664154,0.4709482491016388,0.0837031751871109
,0.001,27,,,,,,
27,,27,,,,0.33346766233444214,0.4346219301223755,0.07236014306545258
,0.001,28,,,,,,
28,,28,,,,0.3053056597709656,0.3962562382221222,0.06149478629231453
,0.001,29,,,,,,
29,,29,,,,0.2778961956501007,0.3563341796398163,0.051336441189050674
,0.001,30,,,,,,
30,,30,,,,0.251714289188385,0.3157644271850586,0.04213450103998184
,0.001,31,,,,,,
31,,31,,,,0.22719386219978333,0.2760041058063507,0.03412449732422829
,0.001,32,,,,,,
32,,32,,,,0.2048291265964508,0.2390439510345459,0.02747761830687523
,0.001,33,,,,,,
33,,33,,,,0.1851777881383896,0.20714892446994781,0.02225230075418949
,0.001,34,,,,,,
34,,34,,,,0.16876904666423798,0.1824415773153305,0.01837959885597229
,0.001,35,,,,,,
35,,35,,,,0.15605571866035461,0.1665569543838501,0.015702905133366585
,0.001,36,,,,,,
36,,36,,,,0.1476680189371109,0.16035053133964539,0.014049049466848373
,0.001,37,,,,,,
37,,37,,,,0.1440075933933258,0.1630876362323761,0.013280379585921764
,0.001,38,,,,,,
38,,38,,,,0.14391911029815674,0.17274941504001617,0.013304411433637142
,0.001,39,,,,,,
39,,39,,,,0.14670293033123016,0.187322735786438,0.014049133285880089
,0.001,40,,,,,,
40,,40,,,,0.1527828574180603,0.20494817197322845,0.015425880439579487
,0.001,41,,,,,,
41,,41,,,,0.1623983085155487,0.22390271723270416,0.01730501838028431
,0.001,42,,,,,,
42,,42,,,,0.17370186746120453,0.24269331991672516,0.019514810293912888
,0.001,43,,,,,,
43,,43,,,,0.18515193462371826,0.2601327896118164,0.021858645603060722
,0.0005,44,,,,,,
44,,44,,,,0.19047397375106812,0.26780521869659424,0.022979039698839188
,0.0005,45,,,,,,
45,,45,,,,0.19518516957759857,0.2743902802467346,0.023986361920833588
,0.0005,46,,,,,,
46,,46,,,,0.19919940829277039,0.27983295917510986,0.024856334552168846
,0.0005,47,,,,,,
47,,47,,,,0.20246803760528564,0.2841188907623291,0.025572864338755608
48,,48,0.15705136954784393,0.2597443759441376,0.016031431034207344,,,
