epoch,lr-Adam,step,test/ADE,test/FDE,test/loss,train/ADE,train/FDE,train/loss,val/ADE,val/FDE,val/loss
,0.001,0,,,,,,,,,
0,,13,,,,,,,0.4787853956222534,0.40472251176834106,0.11411450058221817
,0.001,14,,,,,,,,,
1,,27,,,,,,,0.3061369061470032,0.4031577706336975,0.0644480288028717
,0.001,28,,,,,,,,,
2,,41,,,,,,,0.3194569945335388,0.3795956075191498,0.0637894794344902
,0.001,42,,,,,,,,,
3,,49,,,,0.2283426821231842,0.38030940294265747,0.04221086576581001,,,
3,,55,,,,,,,0.2807302176952362,0.3759417235851288,0.05291041359305382
,0.001,56,,,,,,,,,
4,,69,,,,,,,0.2561291754245758,0.36684930324554443,0.04730459675192833
,0.001,70,,,,,,,,,
5,,83,,,,,,,0.24707157909870148,0.36550667881965637,0.045203328132629395
,0.001,84,,,,,,,,,
6,,97,,,,,,,0.2368120551109314,0.36207178235054016,0.042874328792095184
,0.001,98,,,,,,,,,
7,,99,,,,0.19933032989501953,0.32983770966529846,0.03141799196600914,,,
7,,111,,,,,,,0.23128724098205566,0.35759681463241577,0.041575126349925995
,0.001,112,,,,,,,,,
8,,125,,,,,,,0.23295997083187103,0.3559373915195465,0.04163564369082451
,0.001,126,,,,,,,,,
9,,139,,,,,,,0.2269369661808014,0.3507017195224762,0.04008537903428078
,0.001,140,,,,,,,,,
10,,149,,,,0.19826427102088928,0.33318188786506653,0.03172389790415764,,,
10,,153,,,,,,,0.2271907478570938,0.3484799563884735,0.03997662290930748
,0.001,154,,,,,,,,,
11,,167,,,,,,,0.224655419588089,0.3438433110713959,0.03912567347288132
,0.001,168,,,,,,,,,
12,,181,,,,,,,0.22374659776687622,0.3425212502479553,0.03881353139877319
,0.001,182,,,,,,,,,
13,,195,,,,,,,0.22285336256027222,0.337724506855011,0.03827725350856781
,0.001,196,,,,,,,,,
14,,199,,,,0.20246867835521698,0.33732014894485474,0.03241191431879997,,,
14,,209,,,,,,,0.22247794270515442,0.335227370262146,0.03811630234122276
,0.001,210,,,,,,,,,
15,,223,,,,,,,0.21814782917499542,0.3342570662498474,0.03724360093474388
,0.001,224,,,,,,,,,
16,,237,,,,,,,0.24729274213314056,0.35010725259780884,0.04449119791388512
,0.001,238,,,,,,,,,
17,,249,,,,0.17535749077796936,0.2748580574989319,0.02455778792500496,,,
17,,251,,,,,,,0.22802631556987762,0.333075612783432,0.03880586102604866
,0.001,252,,,,,,,,,
18,,265,,,,,,,0.22194166481494904,0.3347509503364563,0.03782534971833229
,0.001,266,,,,,,,,,
19,,279,,,,,,,0.23426485061645508,0.3388836085796356,0.04064925014972687
,0.001,280,,,,,,,,,
20,,293,,,,,,,0.21862220764160156,0.33304744958877563,0.03719436749815941
,0.001,294,,,,,,,,,
21,,299,,,,0.1752065271139145,0.28360801935195923,0.023660218343138695,,,
21,,307,,,,,,,0.2524382770061493,0.3461482524871826,0.044864360243082047
,0.001,308,,,,,,,,,
22,,321,,,,,,,0.22486837208271027,0.33647000789642334,0.03880070894956589
,0.001,322,,,,,,,,,
23,,335,,,,,,,0.24092556536197662,0.3449697494506836,0.04234727844595909
,0.001,336,,,,,,,,,
24,,349,,,,0.15270739793777466,0.253709614276886,0.01875986158847809,,,
24,,349,,,,,,,0.24388138949871063,0.35259708762168884,0.043679170310497284
,0.001,350,,,,,,,,,
25,,363,,,,,,,0.21909774839878082,0.33319658041000366,0.03729492798447609
,0.001,364,,,,,,,,,
26,,377,,,,,,,0.23062379658222198,0.342113733291626,0.04054491966962814
,0.0005,378,,,,,,,,,
27,,391,,,,,,,0.25934866070747375,0.36614716053009033,0.04794945940375328
,0.0005,392,,,,,,,,,
28,,399,,,,0.1692335605621338,0.2766174077987671,0.02389676123857498,,,
28,,405,,,,,,,0.2385987788438797,0.3513055443763733,0.04271475225687027
,0.0005,406,,,,,,,,,
29,,419,,,,,,,0.22761031985282898,0.3384968042373657,0.039803992956876755
,0.0005,420,,,,,,,,,
30,,433,,,,,,,0.21982671320438385,0.33329910039901733,0.037696193903684616
31,,434,0.1844271570444107,0.29454365372657776,0.02631397917866707,,,,,,
